,Uniprot_ID,Tm
0,Q8TZM9,96.0
1,H6Q9G7,90.0
2,H6QDS7,90.0
3,H6Q7F2,90.0
4,H6QB36,90.0
5,H6QC08,90.0
6,A3MVR8,90.0
7,A8A8R4,90.0
8,Q9Y9P9,90.0
9,F8S123,88.0
10,C5A762,88.0
11,G4RLA7,87.0
12,Q704D3,87.0
13,G4RPJ7,87.0
14,C6A4G2,81.0
15,F8C419,80.0
16,C1IWT4,80.0
17,D9Q149,80.0
18,D9Q2B0,80.0
19,D9Q1B8,80.0
20,R4NXA0,75.0
21,Q9WYR7,75.0
22,Q96XE0,75.0
23,F9VMI9,75.0
24,Q974U2,75.0
25,F9VPG2,75.0
26,Q976R1,75.0
27,Q96YB5,75.0
28,Q96XA9,75.0
29,P39462,74.0
30,Q9UXF1,74.0
31,Q97YT7,74.0
32,Q97YM2,74.0
33,Q97XR4,74.0
34,Q97VW0,74.0
35,Q97V32,74.0
36,Q97WA1,74.0
37,Q97W06,74.0
38,Q97UW5,74.0
39,Q97VV5,74.0
40,Q97VB8,74.0
41,Q7LXK1,74.0
42,Q97ZV3,74.0
43,Q72LG2,71.0
44,Q72HC3,71.0
45,C3MKU8,71.0
46,C3MQ18,71.0
47,C3MKB9,71.0
48,C3MLG3,71.0
49,C3MMX2,71.0
50,C3MKU3,71.0
51,Q4J781,71.0
52,Q4J706,71.0
53,Q4J6Z3,71.0
54,Q4J905,71.0
55,Q4J883,71.0
56,Q4JB77,71.0
57,Q4J6T9,71.0
58,Q4J9R3,71.0
59,Q4JAA6,71.0
60,Q4J6S2,71.0
61,Q4J702,71.0
62,Q4J9F2,71.0
63,B9L425,70.0
64,B9L3M2,70.0
65,B9L4P0,70.0
66,B5YAY3,70.0
67,B5YBK5,70.0
68,F0S426,70.0
69,A4XGL1,68.0
70,B0KBJ9,65.0
71,B0KBL1,65.0
72,D3PCB8,62.0
73,D3PDC3,62.0
74,D3P9J3,62.0
75,D3P9S6,62.0
76,D3PDD7,62.0
2672,I6U632,96.0
2673,E1QTT1,90.0
2674,H6QDS4,90.0
2675,H6Q8R8,90.0
2676,H6QDC5,90.0
2677,Q9Y8Y1,90.0
2678,A3DMC2,88.0
2679,G4RPF2,87.0
2680,G4RLS7,87.0
2681,U3TBY1,85.0
2682,C6A2C2,81.0
2683,I3XT05,81.0
2684,O67610,80.0
2685,D9Q1Q8,80.0
2686,D9Q2Q4,80.0
2687,A5ILG5,75.0
2688,Q9X248,75.0
2689,R4NQP5,75.0
2690,R4NPU7,75.0
2691,Q9X0Q1,75.0
2692,F9VNV3,75.0
2693,F9VMJ4,75.0
2694,F9VNN6,75.0
2695,F2KN05,75.0
2696,F2KRC5,75.0
2697,Q97UK6,74.0
2698,Q97WD7,74.0
2699,Q97Y09,74.0
2700,Q97VG2,74.0
2701,Q97WL1,74.0
2702,Q97WF0,74.0
2703,Q97UA4,74.0
2704,Q97VV6,74.0
2705,Q97ZE4,74.0
2706,Q97ZA0,74.0
2707,E6SJD4,73.0
2708,E6SIA0,73.0
2709,F7YUC0,73.0
2710,F6DE61,71.0
2711,Q72LL2,71.0
2712,F6DDP8,71.0
2713,F6DJQ1,71.0
2714,F6DFU0,71.0
2715,F6DJE8,71.0
2716,Q72GI7,71.0
2717,Q5SK98,71.0
2718,Q5SL78,71.0
2719,C3MMZ2,71.0
2720,C3MJ98,71.0
2721,C3MPN1,71.0
2722,C3MMZ7,71.0
2723,C3MKL7,71.0
2724,C3MJH6,71.0
2725,C3MPI6,71.0
2726,C3ML77,71.0
2727,C3MKU7,71.0
2728,C3MNZ5,71.0
2729,C3MJG2,71.0
2730,V9S8J7,71.0
2731,V9S565,71.0
2732,M1IWV4,71.0
2733,M1IZW4,71.0
2734,M1IXW6,71.0
2735,M1IV23,71.0
2736,V9S3W4,71.0
2737,M1IV13,71.0
2738,M1IMP1,71.0
2739,M1IV75,71.0
2740,M1IMK1,71.0
2741,B9L0C8,70.0
2742,B9L585,70.0
2743,B9L366,70.0
2744,C0QR70,70.0
2745,C0QUD2,70.0
2746,F2NKL8,70.0
2747,F2NNS5,70.0
2748,F2NKF6,70.0
2749,F2NR86,70.0
2750,B5YDQ2,70.0
2751,F0S483,70.0
2752,U5CCU1,69.0
2753,C1DXR7,68.0
2754,C1DXE3,68.0
2755,G2SK06,68.0
2756,G2SGX9,68.0
2757,G2SL26,68.0
2758,G2SJX3,68.0
2759,G2SED2,68.0
2760,G2SFF4,68.0
2761,G2SKF3,68.0
2762,G2SJ61,68.0
2763,G2SHF3,68.0
2764,G2SK08,68.0
2765,D9S342,67.0
2766,C4FHT1,67.0
2767,C4FJM7,67.0
2768,A4YFH3,67.0
2769,E0RRA6,65.0
2770,E0RPT0,65.0
2771,Q3AC55,65.0
2772,I0GHS1,65.0
2773,M8CUN5,62.0
2774,M8DJ70,62.0
2775,D3PA89,62.0
2776,D3PC61,62.0
2777,D3PB93,62.0
2778,D3PAP1,62.0
8676,Q8U259,96.0
8677,I6UPN6,96.0
8678,O58389,95.0
8679,F8AEN1,93.0
